"Participant_ID","Group","Treatment","PP","EDA","BR","Chest_HR","Wrist_HR","RR","KeyStroke","ReportEmail","ReportPerformance"
"T003","CH","ST",1,1,1,1,1,1,1,1,1
"T003","CH","PM",1,1,1,1,1,1,NA,NA,NA
"T003","CH","DT",1,1,1,1,1,1,1,1,1
"T003","CH","PR",1,1,1,1,1,1,NA,NA,NA
"T005","CH","RB",1,1,1,-1,1,0,NA,NA,NA
"T005","CH","ST",1,1,1,-1,1,0,1,1,1
"T005","CH","PM",1,1,1,-1,1,0,NA,NA,NA
"T005","CH","DT",1,1,1,-1,1,0,1,1,1
"T005","CH","PR",1,1,1,-1,1,0,NA,NA,NA
"T009","CH","RB",1,1,1,-1,1,0,NA,NA,NA
"T009","CH","ST",1,1,1,-1,1,0,1,1,1
"T009","CH","PM",1,1,1,-1,1,0,NA,NA,NA
"T009","CH","DT",1,1,1,-1,1,0,1,1,1
"T009","CH","PR",1,1,1,-1,1,0,NA,NA,NA
"T011","CH","RB",1,1,1,1,1,1,NA,NA,NA
"T011","CH","ST",1,-1,1,1,1,1,1,1,1
"T011","CH","PM",1,-1,1,1,1,1,NA,NA,NA
"T011","CH","DT",1,-1,1,1,1,1,1,1,1
"T011","CH","PR",1,1,1,1,-1,1,NA,NA,NA
"T016","BH","RB",1,1,1,1,1,1,NA,NA,NA
"T016","BH","ST",1,1,1,1,1,1,1,1,1
"T016","BH","PM",1,1,1,1,1,1,NA,NA,NA
"T016","BH","DT",1,1,1,1,1,1,1,1,1
"T016","BH","PR",1,1,1,1,1,1,NA,NA,NA
"T019","BH","RB",1,1,1,1,-1,1,NA,NA,NA
"T019","BH","ST",1,1,1,1,1,1,1,1,1
"T019","BH","PM",1,1,1,1,-1,1,NA,NA,NA
"T019","BH","DT",1,1,1,1,1,1,1,1,1
"T019","BH","PR",1,1,1,1,-1,1,NA,NA,NA
"T021","BH","RB",1,1,0,0,1,0,NA,NA,NA
"T021","BH","ST",1,1,0,0,1,0,1,1,1
"T021","BH","PM",1,1,0,0,1,0,NA,NA,NA
"T021","BH","DT",1,1,0,0,1,0,1,1,1
"T021","BH","PR",1,1,0,0,1,0,NA,NA,NA
"T031","CL","RB",1,1,1,1,-1,1,NA,NA,NA
"T031","CL","ST",1,1,1,1,1,1,1,1,1
"T031","CL","PM",1,1,1,1,-1,1,NA,NA,NA
"T031","CL","DT",1,1,1,-1,1,-1,1,1,1
"T031","CL","PR",-1,1,1,-1,1,0,NA,NA,NA
"T032","CL","RB",1,1,1,1,-1,1,NA,NA,NA
"T032","CL","ST",1,1,-1,1,1,1,1,1,1
"T032","CL","PM",1,1,-1,1,1,1,NA,NA,NA
"T032","CL","DT",1,1,1,1,-1,1,1,1,1
"T032","CL","PR",1,1,-1,1,1,1,NA,NA,NA
"T035","CL","RB",1,1,-1,1,1,1,NA,NA,NA
"T035","CL","ST",1,1,1,1,1,1,1,1,1
"T035","CL","PM",1,1,1,1,-1,1,NA,NA,NA
"T035","CL","DT",1,1,1,1,-1,1,1,1,1
"T035","CL","PR",1,1,1,1,1,1,NA,NA,NA
"T037","CL","RB",1,1,0,0,1,0,NA,NA,NA
"T037","CL","ST",1,1,0,0,1,0,1,1,1
"T037","CL","PM",1,1,0,0,1,0,NA,NA,NA
"T037","CL","DT",1,1,0,0,1,0,1,1,1
"T037","CL","PR",0,0,0,0,0,0,NA,NA,NA
"T046","BL","RB",1,1,1,1,1,1,NA,NA,NA
"T046","BL","ST",1,1,1,1,1,1,1,1,1
"T046","BL","PM",1,1,1,1,1,1,NA,NA,NA
"T046","BL","DT",1,1,1,1,1,1,1,1,1
"T046","BL","PR",1,1,1,1,1,1,NA,NA,NA
"T047","BL","RB",1,1,1,1,-1,1,NA,NA,NA
"T047","BL","ST",1,1,1,1,1,1,1,1,1
"T047","BL","PM",1,1,1,1,-1,1,NA,NA,NA
"T047","BL","DT",1,1,-1,1,1,1,1,1,1
"T047","BL","PR",1,1,-1,1,1,1,NA,NA,NA
"T051","BL","RB",1,0,1,1,0,0,NA,NA,NA
"T051","BL","ST",1,0,1,1,0,0,1,1,1
"T051","BL","PM",1,0,1,1,0,0,NA,NA,NA
"T051","BL","DT",1,1,-1,1,1,0,1,1,1
"T051","BL","PR",1,1,1,1,1,0,NA,NA,NA
"T061","CH","RB",1,-1,1,1,1,1,NA,NA,NA
"T061","CH","ST",1,1,1,1,1,1,1,1,1
"T061","CH","PM",1,1,1,1,1,1,NA,NA,NA
"T061","CH","DT",1,-1,1,1,1,1,1,1,1
"T061","CH","PR",1,1,1,1,-1,1,NA,NA,NA
"T063","CH","RB",1,1,1,1,1,1,NA,NA,NA
"T063","CH","ST",1,1,1,1,1,1,1,1,1
"T063","CH","PM",1,1,1,1,1,1,NA,NA,NA
"T063","CH","DT",1,1,1,1,1,1,1,1,1
"T063","CH","PR",1,1,1,1,1,1,NA,NA,NA
"T064","CH","RB",1,-1,1,1,1,1,NA,NA,NA
"T064","CH","ST",1,-1,1,1,1,1,1,1,1
"T064","CH","PM",1,1,1,1,1,1,NA,NA,NA
"T064","CH","DT",1,-1,1,1,1,1,1,1,1
"T064","CH","PR",1,1,1,1,1,1,NA,NA,NA
"T065","CH","RB",1,1,1,1,1,1,NA,NA,NA
"T065","CH","ST",1,-1,1,1,1,1,1,1,1
"T065","CH","PM",1,1,1,1,1,1,NA,NA,NA
"T065","CH","DT",1,-1,1,1,1,1,1,1,1
"T065","CH","PR",1,1,1,1,1,1,NA,NA,NA
"T066","CH","RB",1,-1,1,1,1,1,NA,NA,NA
"T066","CH","ST",1,-1,1,1,1,1,1,1,1
"T066","CH","PM",1,-1,1,1,1,1,NA,NA,NA
"T066","CH","DT",1,-1,1,1,1,1,1,1,1
"T066","CH","PR",1,-1,1,1,1,1,NA,NA,NA
"T068","CH","RB",1,1,1,1,1,1,NA,NA,NA
"T068","CH","ST",1,1,1,1,1,1,1,1,1
"T068","CH","PM",1,-1,1,1,1,1,NA,NA,NA
"T068","CH","DT",1,1,1,1,1,1,1,1,1
"T068","CH","PR",1,1,1,1,-1,1,NA,NA,NA
"T077","BH","RB",1,1,1,1,1,1,NA,NA,NA
"T077","BH","ST",1,1,1,1,1,1,1,1,1
"T077","BH","PM",1,1,1,1,1,1,NA,NA,NA
"T077","BH","DT",1,-1,1,1,1,1,1,1,1
"T077","BH","PR",1,1,1,1,1,1,NA,NA,NA
"T078","BH","RB",1,1,1,1,1,1,NA,NA,NA
"T078","BH","ST",1,1,1,1,1,1,1,1,1
"T078","BH","PM",1,-1,1,1,1,1,NA,NA,NA
"T078","BH","DT",1,1,-1,1,1,1,1,1,1
"T078","BH","PR",1,1,1,1,1,1,NA,NA,NA
"T079","BH","RB",1,-1,1,1,1,1,NA,NA,NA
"T079","BH","ST",1,-1,1,1,1,1,1,1,1
"T079","BH","PM",1,1,1,1,1,1,NA,NA,NA
"T079","BH","DT",1,-1,1,1,1,1,1,1,1
"T079","BH","PR",1,1,1,1,1,1,NA,NA,NA
"T082","BH","RB",1,1,1,1,1,1,NA,NA,NA
"T082","BH","ST",1,1,1,1,1,1,1,1,1
"T082","BH","PM",1,1,1,1,1,1,NA,NA,NA
"T082","BH","DT",1,1,1,1,1,1,1,1,1
"T082","BH","PR",1,1,1,1,1,1,NA,NA,NA
"T083","BH","RB",1,-1,1,1,1,1,NA,NA,NA
"T083","BH","ST",1,-1,1,1,1,1,1,1,1
"T083","BH","PM",1,-1,1,1,1,1,NA,NA,NA
"T083","BH","DT",1,-1,1,1,1,1,1,1,1
"T083","BH","PR",1,1,1,1,1,1,NA,NA,NA
"T084","BH","RB",1,1,1,1,1,1,NA,NA,NA
"T084","BH","ST",1,-1,1,1,1,1,0,1,1
"T084","BH","PM",1,-1,1,1,1,1,NA,NA,NA
"T084","BH","DT",1,-1,1,1,1,1,0,1,1
"T084","BH","PR",1,-1,1,1,1,1,NA,NA,NA
"T085","BH","RB",1,-1,1,1,1,1,NA,NA,NA
"T085","BH","ST",1,-1,1,1,1,1,1,1,0
"T085","BH","PM",1,1,1,1,1,1,NA,NA,NA
"T085","BH","DT",1,-1,1,1,1,1,1,1,0
"T085","BH","PR",1,1,1,1,1,1,NA,NA,NA
"T091","CL","RB",1,1,1,1,1,1,NA,NA,NA
"T091","CL","ST",1,1,1,1,1,1,1,1,1
"T091","CL","PM",1,1,1,1,1,1,NA,NA,NA
"T091","CL","DT",1,-1,1,1,1,1,1,1,1
"T091","CL","PR",1,1,-1,1,1,1,NA,NA,NA
"T092","CL","RB",1,-1,1,1,1,0,NA,NA,NA
"T092","CL","ST",1,-1,1,1,1,0,1,1,1
"T092","CL","PM",1,-1,1,1,1,0,NA,NA,NA
"T092","CL","DT",1,-1,1,1,1,0,0,1,1
"T092","CL","PR",1,-1,1,1,1,0,NA,NA,NA
"T093","CL","RB",1,1,1,1,1,1,NA,NA,NA
"T093","CL","ST",1,1,1,1,1,1,1,1,1
"T093","CL","PM",1,1,1,1,-1,1,NA,NA,NA
"T093","CL","DT",1,1,1,1,-1,1,1,1,1
"T093","CL","PR",1,1,1,1,1,1,NA,NA,NA
"T094","CL","RB",1,1,1,1,1,1,NA,NA,NA
"T094","CL","ST",1,1,1,1,1,1,1,1,1
"T094","CL","PM",1,1,1,1,1,1,NA,NA,NA
"T094","CL","DT",1,-1,1,1,1,1,1,1,1
"T094","CL","PR",1,1,1,1,-1,1,NA,NA,NA
"T096","CL","RB",1,-1,1,1,1,1,NA,NA,NA
"T096","CL","ST",1,-1,1,1,1,1,1,1,1
"T096","CL","PM",1,-1,1,1,1,1,NA,NA,NA
"T096","CL","DT",1,-1,1,1,1,1,1,1,1
"T096","CL","PR",1,-1,1,1,1,1,NA,NA,NA
"T098","CL","RB",1,-1,1,1,1,1,NA,NA,NA
"T098","CL","ST",1,-1,1,1,1,1,1,1,1
"T098","CL","PM",1,-1,1,1,1,1,NA,NA,NA
"T098","CL","DT",1,-1,1,1,1,1,0,1,1
"T098","CL","PR",1,-1,1,1,1,1,NA,NA,NA
"T099","CL","RB",1,-1,1,1,1,1,NA,NA,NA
"T099","CL","ST",1,1,1,1,1,1,1,1,1
"T099","CL","PM",1,1,1,1,1,1,NA,NA,NA
"T099","CL","DT",1,-1,1,1,1,1,1,1,1
"T099","CL","PR",1,1,1,1,-1,1,NA,NA,NA
"T106","BL","RB",1,1,1,1,1,1,NA,NA,NA
"T106","BL","ST",1,1,1,1,-1,1,1,1,1
"T106","BL","PM",1,1,1,1,1,1,NA,NA,NA
"T106","BL","DT",1,-1,1,1,1,1,1,1,1
"T106","BL","PR",1,-1,1,1,1,1,NA,NA,NA
"T112","BL","RB",1,1,1,1,1,1,NA,NA,NA
"T112","BL","ST",1,1,1,1,1,1,1,1,1
